C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	829             	
                	2     	822             	
                	3     	811             	
                	4     	810             	
                	5     	804             	
                	6     	818             	
                	7     	813             	
                	8     	808             	
                	9     	803             	
                	10    	800             	
                	11    	800             	
                	12    	795             	
                	13    	831             	
                	14    	821             	
                	15    	822             	
                	16    	812             	
                	17    	803             	
                	18    	802             	
                	19    	841             	
                	20    	830             	
                	21    	823             	
                	22    	819             	
                	23    	814             	
                	24    	817             	
                	25    	813             	
                	26    	806             	
                	27    	806             	
                	28    	813             	
                	29    	809             	
                	30    	819             	
                	31    	814             	
                	32    	812             	
                	33    	804             	
                	34    	806             	
                	35    	798             	
                	36    	792             	
                	37    	787             	
                	38    	789             	
                	39    	788             	
                	40    	790             	
                	41    	870             	
                	42    	859             	
                	43    	848             	
                	44    	835             	
                	45    	835             	
                	46    	825             	
                	47    	823             	
                	48    	816             	
                	49    	812             	
                	50    	821             	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	898             	
                	2     	896             	
                	3     	892             	
                	4     	882             	
                	5     	884             	
                	6     	886             	
                	7     	885             	
                	8     	878             	
                	9     	897             	
                	10    	916             	
                	11    	909             	
                	12    	905             	
                	13    	902             	
                	14    	887             	
                	15    	906             	
                	16    	897             	
                	17    	898             	
                	18    	896             	
                	19    	890             	
                	20    	887             	
                	21    	883             	
                	22    	882             	
                	23    	886             	
                	24    	938             	
                	25    	947             	
                	26    	942             	
                	27    	931             	
                	28    	981             	
                	29    	974             	
                	30    	966             	
                	31    	960             	
                	32    	955             	
                	33    	950             	
                	34    	942             	
                	35    	936             	
                	36    	931             	
                	37    	925             	
                	38    	924             	
                	39    	915             	
                	40    	1018            	
                	41    	1006            	
                	42    	992             	
                	43    	987             	
                	44    	981             	
                	45    	977             	
                	46    	972             	
                	47    	966             	
                	48    	957             	
                	49    	954             	
                	50    	952             	

D1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	937             	
                	2     	939             	
                	3     	928             	
                	4     	927             	
                	5     	910             	
                	6     	909             	
                	7     	909             	
                	8     	904             	
                	9     	903             	
                	10    	899             	
                	11    	891             	
                	12    	899             	
                	13    	893             	
                	14    	899             	
                	15    	898             	
                	16    	890             	
                	17    	884             	
                	18    	894             	
                	19    	889             	
                	20    	884             	
                	21    	881             	
                	22    	901             	
                	23    	898             	
                	24    	907             	
                	25    	899             	
                	26    	902             	
                	27    	904             	
                	28    	893             	
                	29    	893             	
                	30    	890             	
                	31    	891             	
                	32    	882             	
                	33    	886             	
                	34    	884             	
                	35    	922             	
                	36    	914             	
                	37    	911             	
                	38    	904             	
                	39    	944             	
                	40    	933             	
                	41    	930             	
                	42    	923             	
                	43    	918             	
                	44    	941             	
                	45    	940             	
                	46    	933             	
                	47    	927             	
                	48    	914             	
                	49    	919             	
                	50    	913             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	984             	
                	2     	1017            	
                	3     	1018            	
                	4     	1021            	
                	5     	1021            	
                	6     	1014            	
                	7     	1009            	
                	8     	1002            	
                	9     	1002            	
                	10    	1005            	
                	11    	1003            	
                	12    	999             	
                	13    	987             	
                	14    	993             	
                	15    	985             	
                	16    	979             	
                	17    	1026            	
                	18    	1027            	
                	19    	1008            	
                	20    	999             	
                	21    	991             	
                	22    	1066            	
                	23    	1054            	
                	24    	1040            	
                	25    	1032            	
                	26    	1039            	
                	27    	1021            	
                	28    	1013            	
                	29    	1004            	
                	30    	1001            	
                	31    	992             	
                	32    	997             	
                	33    	1005            	
                	34    	998             	
                	35    	992             	
                	36    	985             	
                	37    	982             	
                	38    	972             	
                	39    	965             	
                	40    	973             	
                	41    	973             	
                	42    	970             	
                	43    	961             	
                	44    	961             	
                	45    	958             	
                	46    	954             	
                	47    	958             	
                	48    	954             	
                	49    	951             	
                	50    	944             	

E1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1203            	
                	2     	1204            	
                	3     	1213            	
                	4     	1213            	
                	5     	1239            	
                	6     	1252            	
                	7     	1267            	
                	8     	1264            	
                	9     	1262            	
                	10    	1267            	
                	11    	1273            	
                	12    	1328            	
                	13    	1327            	
                	14    	1337            	
                	15    	1430            	
                	16    	1424            	
                	17    	1466            	
                	18    	1461            	
                	19    	1455            	
                	20    	1451            	
                	21    	1445            	
                	22    	1456            	
                	23    	1450            	
                	24    	1448            	
                	25    	1451            	
                	26    	1445            	
                	27    	1516            	
                	28    	1569            	
                	29    	1569            	
                	30    	1567            	
                	31    	1567            	
                	32    	1568            	
                	33    	1570            	
                	34    	1655            	
                	35    	1638            	
                	36    	1631            	
                	37    	1666            	
                	38    	1665            	
                	39    	1663            	
                	40    	1661            	
                	41    	1664            	
                	42    	1658            	
                	43    	1657            	
                	44    	1652            	
                	45    	1894            	
                	46    	1885            	
                	47    	1874            	
                	48    	1869            	
                	49    	1865            	
                	50    	1858            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1471            	
                	2     	1461            	
                	3     	1474            	
                	4     	1477            	
                	5     	1478            	
                	6     	1468            	
                	7     	1472            	
                	8     	1502            	
                	9     	1545            	
                	10    	1552            	
                	11    	1554            	
                	12    	1544            	
                	13    	1539            	
                	14    	1532            	
                	15    	1538            	
                	16    	1537            	
                	17    	1546            	
                	18    	1594            	
                	19    	1588            	
                	20    	1587            	
                	21    	1638            	
                	22    	1643            	
                	23    	1632            	
                	24    	1672            	
                	25    	1682            	
                	26    	1689            	
                	27    	1685            	
                	28    	1686            	
                	29    	1683            	
                	30    	1681            	
                	31    	1686            	
                	32    	1681            	
                	33    	1707            	
                	34    	1732            	
                	35    	1734            	
                	36    	1746            	
                	37    	1744            	
                	38    	1759            	
                	39    	1758            	
                	40    	1768            	
                	41    	1778            	
