C1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1397            	
                	2     	1292            	
                	3     	1172            	
                	4     	1093            	
                	5     	1042            	
                	6     	1005            	
                	7     	976             	
                	8     	959             	
                	9     	934             	
                	10    	924             	
                	11    	915             	
                	12    	907             	
                	13    	899             	
                	14    	1163            	
                	15    	1042            	
                	16    	989             	
                	17    	963             	
                	18    	935             	
                	19    	923             	
                	20    	917             	
                	21    	911             	
                	22    	899             	
                	23    	897             	
                	24    	887             	
                	25    	887             	
                	26    	879             	
                	27    	876             	
                	28    	876             	
                	29    	875             	
                	30    	865             	
                	31    	868             	
                	32    	868             	
                	33    	865             	
                	34    	858             	
                	35    	854             	
                	36    	844             	
                	37    	830             	
                	38    	830             	
                	39    	833             	
                	40    	867             	
                	41    	856             	
                	42    	847             	
                	43    	856             	
                	44    	846             	
                	45    	835             	
                	46    	827             	
                	47    	829             	
                	48    	823             	
                	49    	814             	
                	50    	811             	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1418            	
                	2     	1309            	
                	3     	1194            	
                	4     	1119            	
                	5     	1063            	
                	6     	1024            	
                	7     	994             	
                	8     	978             	
                	9     	961             	
                	10    	951             	
                	11    	937             	
                	12    	938             	
                	13    	930             	
                	14    	1337            	
                	15    	1134            	
                	16    	1072            	
                	17    	1034            	
                	18    	1004            	
                	19    	981             	
                	20    	973             	
                	21    	964             	
                	22    	962             	
                	23    	951             	
                	24    	956             	
                	25    	943             	
                	26    	937             	
                	27    	935             	
                	28    	940             	
                	29    	935             	
                	30    	931             	
                	31    	941             	
                	32    	934             	
                	33    	925             	
                	34    	924             	
                	35    	932             	
                	36    	935             	
                	37    	920             	
                	38    	917             	
                	39    	913             	
                	40    	904             	
                	41    	914             	
                	42    	925             	
                	43    	922             	
                	44    	914             	
                	45    	942             	
                	46    	931             	
                	47    	926             	
                	48    	912             	
                	49    	909             	
                	50    	907             	

D1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1504            	
                	2     	1394            	
                	3     	1282            	
                	4     	1201            	
                	5     	1145            	
                	6     	1112            	
                	7     	1069            	
                	8     	1050            	
                	9     	1029            	
                	10    	1013            	
                	11    	1011            	
                	12    	995             	
                	13    	985             	
                	14    	1280            	
                	15    	1156            	
                	16    	1104            	
                	17    	1069            	
                	18    	1040            	
                	19    	1019            	
                	20    	1008            	
                	21    	995             	
                	22    	981             	
                	23    	976             	
                	24    	969             	
                	25    	953             	
                	26    	956             	
                	27    	947             	
                	28    	960             	
                	29    	954             	
                	30    	947             	
                	31    	949             	
                	32    	950             	
                	33    	944             	
                	34    	941             	
                	35    	943             	
                	36    	939             	
                	37    	959             	
                	38    	957             	
                	39    	945             	
                	40    	937             	
                	41    	932             	
                	42    	922             	
                	43    	917             	
                	44    	903             	
                	45    	900             	
                	46    	912             	
                	47    	906             	
                	48    	911             	
                	49    	918             	
                	50    	956             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1548            	
                	2     	1439            	
                	3     	1329            	
                	4     	1246            	
                	5     	1187            	
                	6     	1154            	
                	7     	1110            	
                	8     	1088            	
                	9     	1068            	
                	10    	1054            	
                	11    	1040            	
                	12    	1031            	
                	13    	1031            	
                	14    	1503            	
                	15    	1300            	
                	16    	1233            	
                	17    	1183            	
                	18    	1157            	
                	19    	1127            	
                	20    	1103            	
                	21    	1097            	
                	22    	1075            	
                	23    	1077            	
                	24    	1084            	
                	25    	1070            	
                	26    	1071            	
                	27    	1068            	
                	28    	1078            	
                	29    	1061            	
                	30    	1057            	
                	31    	1060            	
                	32    	1046            	
                	33    	1041            	
                	34    	1036            	
                	35    	1023            	
                	36    	1031            	
                	37    	1056            	
                	38    	1090            	
                	39    	1073            	
                	40    	1062            	
                	41    	1052            	
                	42    	1050            	
                	43    	1036            	
                	44    	1025            	
                	45    	1017            	
                	46    	1018            	
                	47    	1017            	
                	48    	1010            	
                	49    	999             	
                	50    	995             	

E1, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1402            	
                	2     	1305            	
                	3     	1200            	
                	4     	1126            	
                	5     	1072            	
                	6     	1034            	
                	7     	1003            	
                	8     	983             	
                	9     	970             	
                	10    	958             	
                	11    	945             	
                	12    	942             	
                	13    	937             	
                	14    	1215            	
                	15    	1105            	
                	16    	1063            	
                	17    	1030            	
                	18    	1016            	
                	19    	1006            	
                	20    	1001            	
                	21    	992             	
                	22    	994             	
                	23    	1001            	
                	24    	1004            	
                	25    	1013            	
                	26    	1014            	
                	27    	1020            	
                	28    	1025            	
                	29    	1031            	
                	30    	1039            	
                	31    	1043            	
                	32    	1061            	
                	33    	1072            	
                	34    	1085            	
                	35    	1090            	
                	36    	1113            	
                	37    	1111            	
                	38    	1124            	
                	39    	1122            	
                	40    	1118            	
                	41    	1123            	
                	42    	1125            	
                	43    	1124            	
                	44    	1152            	
                	45    	1152            	
                	46    	1215            	
                	47    	1219            	
                	48    	1208            	
                	49    	1216            	
                	50    	1213            	

