A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	874             	
                	2     	870             	
                	3     	865             	
                	4     	880             	
                	5     	877             	
                	6     	879             	
                	7     	889             	
                	8     	884             	
                	9     	882             	
                	10    	880             	
                	11    	873             	
                	12    	869             	
                	13    	865             	
                	14    	887             	
                	15    	888             	
                	16    	881             	
                	17    	877             	
                	18    	876             	
                	19    	872             	
                	20    	867             	
                	21    	863             	
                	22    	859             	
                	23    	858             	
                	24    	855             	
                	25    	852             	
                	26    	850             	
                	27    	847             	
                	28    	841             	
                	29    	843             	
                	30    	838             	
                	31    	836             	
                	32    	829             	
                	33    	827             	
                	34    	828             	
                	35    	827             	
                	36    	822             	
                	37    	821             	
                	38    	818             	
                	39    	811             	
                	40    	812             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1819            	
                	2     	1828            	
                	3     	1828            	
                	4     	1830            	
                	5     	1830            	
                	6     	1829            	
                	7     	1838            	
                	8     	1837            	
                	9     	1847            	
                	10    	1859            	
                	11    	1863            	
                	12    	1872            	
                	13    	1871            	
                	14    	1879            	
                	15    	1880            	
                	16    	1877            	
                	17    	1883            	
                	18    	1893            	
                	19    	2167            	
                	20    	2159            	
                	21    	2163            	
                	22    	2158            	
                	23    	2156            	
                	24    	2153            	
                	25    	2154            	
                	26    	2152            	
                	27    	2202            	
                	28    	2206            	
                	29    	2211            	
                	30    	2213            	
                	31    	2220            	
                	32    	2219            	
                	33    	2223            	
                	34    	2222            	
                	35    	2221            	
                	36    	2221            	
                	37    	2224            	
                	38    	2216            	
                	39    	2219            	
                	40    	2223            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	5599            	
                	2     	5616            	
                	3     	5670            	
                	4     	5687            	
                	5     	5723            	
                	6     	5740            	
                	7     	5749            	
                	8     	5860            	
                	9     	5917            	
                	10    	6463            	
                	11    	6478            	
                	12    	6496            	
                	13    	6503            	
                	14    	6513            	
                	15    	6501            	
                	16    	6516            	
                	17    	6630            	
                	18    	6636            	
                	19    	6646            	
                	20    	6647            	
                	21    	6647            	
                	22    	6723            	
                	23    	6742            	
                	24    	6796            	
                	25    	6801            	
                	26    	6811            	
                	27    	6835            	
                	28    	7297            	
                	29    	7306            	
                	30    	7395            	
                	31    	7427            	
                	32    	7432            	
                	33    	7451            	
                	34    	7454            	
                	35    	7482            	
                	36    	7652            	
                	37    	7689            	
                	38    	7708            	
                	39    	7708            	
                	40    	7713            	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	5801            	
                	2     	5814            	
                	3     	5844            	
                	4     	5880            	
                	5     	5957            	
                	6     	5984            	
                	7     	6007            	
                	8     	6096            	
                	9     	6144            	
                	10    	6168            	
                	11    	6195            	
                	12    	6210            	
                	13    	6198            	
                	14    	6229            	
                	15    	6824            	
                	16    	6851            	
                	17    	6878            	
                	18    	6887            	
                	19    	6936            	
                	20    	6953            	
                	21    	7000            	
                	22    	7070            	
                	23    	8059            	
                	24    	8068            	
                	25    	8204            	
                	26    	8228            	
                	27    	8300            	
                	28    	8294            	
                	29    	8306            	
                	30    	8302            	
                	31    	8306            	
                	32    	8361            	
                	33    	8352            	
                	34    	8345            	
                	35    	8345            	
                	36    	8363            	
                	37    	8347            	
                	38    	9205            	
                	39    	9181            	
                	40    	9187            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	6381            	
                	2     	6413            	
                	3     	6455            	
                	4     	6481            	
                	5     	6511            	
                	6     	6535            	
                	7     	6550            	
                	8     	6561            	
                	9     	7159            	
                	10    	7172            	
                	11    	7159            	
                	12    	7148            	
                	13    	7126            	
                	14    	7163            	
                	15    	7175            	
                	16    	7177            	
                	17    	7513            	
                	18    	7575            	
                	19    	7661            	
                	20    	7673            	
                	21    	7707            	
                	22    	7747            	
                	23    	7767            	
                	24    	7736            	
                	25    	7765            	
                	26    	7770            	
                	27    	7792            	
                	28    	7873            	
                	29    	7886            	
                	30    	7897            	
                	31    	7890            	
                	32    	7886            	
                	33    	8011            	
                	34    	8042            	
                	35    	8110            	
                	36    	8121            	
                	37    	8226            	
                	38    	8216            	
                	39    	8201            	
                	40    	8197            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	5835            	
                	2     	5854            	
                	3     	6018            	
                	4     	6023            	
                	5     	6024            	
                	6     	6102            	
                	7     	6193            	
                	8     	6206            	
                	9     	6214            	
                	10    	6226            	
                	11    	6326            	
                	12    	6345            	
                	13    	6392            	
                	14    	6420            	
                	15    	6480            	
                	16    	6500            	
                	17    	6546            	
                	18    	6559            	
                	19    	6983            	
                	20    	6987            	
                	21    	6991            	
                	22    	7006            	
                	23    	7046            	
                	24    	7044            	
                	25    	7053            	
                	26    	7072            	
                	27    	7075            	
                	28    	7187            	
                	29    	7215            	
                	30    	7229            	
                	31    	7243            	
                	32    	7241            	
                	33    	7299            	
                	34    	7301            	
                	35    	7466            	
                	36    	7465            	
                	37    	7479            	
                	38    	7486            	
                	39    	7685            	
                	40    	7711            	

G3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	5259            	
                	2     	5442            	
                	3     	5776            	
                	4     	5757            	
                	5     	5751            	
                	6     	5749            	
                	7     	5759            	
                	8     	5768            	
                	9     	5778            	
                	10    	5779            	
                	11    	5943            	
                	12    	5968            	
                	13    	5986            	
                	14    	5992            	
                	15    	6003            	
                	16    	6073            	
                	17    	6099            	
                	18    	6128            	
                	19    	6137            	
                	20    	6180            	
                	21    	6227            	
                	22    	6248            	
                	23    	6247            	
                	24    	6401            	
                	25    	6420            	
                	26    	6428            	
                	27    	6467            	
                	28    	6474            	
                	29    	6494            	
                	30    	6531            	
                	31    	6550            	
                	32    	6534            	
                	33    	6590            	
                	34    	6593            	
                	35    	6593            	
                	36    	6596            	
                	37    	6619            	
                	38    	6721            	
                	39    	6784            	
                	40    	6801            	

H3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	4884            	
                	2     	4908            	
                	3     	5025            	
                	4     	5058            	
                	5     	5092            	
                	6     	5117            	
                	7     	5735            	
                	8     	5703            	
                	9     	5703            	
                	10    	5698            	
                	11    	5714            	
                	12    	5740            	
                	13    	5767            	
                	14    	5783            	
                	15    	5796            	
                	16    	5782            	
                	17    	5787            	
                	18    	5811            	
                	19    	5806            	
                	20    	5887            	
                	21    	5897            	
                	22    	5900            	
                	23    	5936            	
                	24    	5939            	
                	25    	5966            	
                	26    	5977            	
                	27    	6006            	
                	28    	6002            	
                	29    	5996            	
                	30    	6013            	
                	31    	6252            	
                	32    	6300            	
                	33    	6335            	
                	34    	6441            	
                	35    	6461            	
                	36    	7794            	
                	37    	7739            	
                	38    	7713            	
                	39    	7676            	
                	40    	7651            	

