A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1308            	
                	2     	1160            	
                	3     	1052            	
                	4     	987             	
                	5     	942             	
                	6     	923             	
                	7     	906             	
                	8     	888             	
                	9     	869             	
                	10    	860             	
                	11    	854             	
                	12    	844             	
                	13    	839             	
                	14    	840             	
                	15    	832             	
                	16    	828             	
                	17    	1321            	
                	18    	1139            	
                	19    	1066            	
                	20    	1020            	
                	21    	987             	
                	22    	961             	
                	23    	942             	
                	24    	928             	
                	25    	911             	
                	26    	901             	
                	27    	885             	
                	28    	881             	
                	29    	874             	
                	30    	863             	
                	31    	850             	
                	32    	859             	
                	33    	849             	
                	34    	855             	
                	35    	859             	
                	36    	865             	
                	37    	858             	
                	38    	852             	
                	39    	855             	
                	40    	849             	
                	41    	844             	
                	42    	835             	
                	43    	827             	
                	44    	826             	
                	45    	833             	
                	46    	833             	
                	47    	820             	
                	48    	816             	
                	49    	805             	
                	50    	798             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1376            	
                	2     	1245            	
                	3     	1145            	
                	4     	1080            	
                	5     	1038            	
                	6     	1009            	
                	7     	988             	
                	8     	992             	
                	9     	988             	
                	10    	989             	
                	11    	971             	
                	12    	967             	
                	13    	963             	
                	14    	963             	
                	15    	962             	
                	16    	973             	
                	17    	1545            	
                	18    	1332            	
                	19    	1261            	
                	20    	1217            	
                	21    	1182            	
                	22    	1167            	
                	23    	1149            	
                	24    	1137            	
                	25    	1128            	
                	26    	1123            	
                	27    	1109            	
                	28    	1114            	
                	29    	1125            	
                	30    	1114            	
                	31    	1130            	
                	32    	1128            	
                	33    	1125            	
                	34    	1118            	
                	35    	1121            	
                	36    	1127            	
                	37    	1141            	
                	38    	1156            	
                	39    	1180            	
                	40    	1191            	
                	41    	1216            	
                	42    	1211            	
                	43    	1201            	
                	44    	1214            	
                	45    	1214            	
                	46    	1225            	
                	47    	1219            	
                	48    	1222            	
                	49    	1237            	
                	50    	1237            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1513            	
                	2     	1374            	
                	3     	1266            	
                	4     	1194            	
                	5     	1148            	
                	6     	1116            	
                	7     	1108            	
                	8     	1107            	
                	9     	1108            	
                	10    	1091            	
                	11    	1087            	
                	12    	1084            	
                	13    	1087            	
                	14    	1088            	
                	15    	1113            	
                	16    	1124            	
                	17    	1786            	
                	18    	1544            	
                	19    	1468            	
                	20    	1426            	
                	21    	1407            	
                	22    	1410            	
                	23    	1414            	
                	24    	1423            	
                	25    	1443            	
                	26    	1461            	
                	27    	1474            	
                	28    	1501            	
                	29    	1524            	
                	30    	1582            	
                	31    	1598            	
                	32    	1623            	
                	33    	1668            	
                	34    	1702            	
                	35    	1739            	
                	36    	1764            	
                	37    	1789            	
                	38    	1832            	
                	39    	1886            	
                	40    	1925            	
                	41    	1983            	
                	42    	2049            	
                	43    	2085            	
                	44    	2190            	
                	45    	2247            	
                	46    	2270            	
                	47    	2297            	
                	48    	2328            	
                	49    	2409            	
                	50    	2442            	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1670            	
                	2     	1521            	
                	3     	1402            	
                	4     	1346            	
                	5     	1285            	
                	6     	1256            	
                	7     	1249            	
                	8     	1245            	
                	9     	1239            	
                	10    	1230            	
                	11    	1227            	
                	12    	1242            	
                	13    	1238            	
                	14    	1231            	
                	15    	1228            	
                	16    	1256            	
                	17    	2047            	
                	18    	1782            	
