A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	841             	
                	2     	838             	
                	3     	839             	
                	4     	861             	
                	5     	857             	
                	6     	855             	
                	7     	856             	
                	8     	851             	
                	9     	850             	
                	10    	916             	
                	11    	959             	
                	12    	950             	
                	13    	945             	
                	14    	933             	
                	15    	927             	
                	16    	914             	
                	17    	907             	
                	18    	897             	
                	19    	892             	
                	20    	886             	
                	21    	881             	
                	22    	878             	
                	23    	874             	
                	24    	925             	
                	25    	919             	
                	26    	916             	
                	27    	911             	
                	28    	904             	
                	29    	896             	
                	30    	888             	
                	31    	887             	
                	32    	883             	
                	33    	875             	
                	34    	870             	
                	35    	870             	
                	36    	869             	
                	37    	863             	
                	38    	856             	
                	39    	845             	
                	40    	840             	
                	41    	839             	
                	42    	841             	
                	43    	837             	
                	44    	834             	
                	45    	843             	
                	46    	839             	
                	47    	837             	
                	48    	837             	
                	49    	832             	
                	50    	834             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1424            	
                	2     	1417            	
                	3     	1410            	
                	4     	1415            	
                	5     	1408            	
                	6     	1404            	
                	7     	1400            	
                	8     	1397            	
                	9     	1430            	
                	10    	1430            	
                	11    	1427            	
                	12    	1420            	
                	13    	1433            	
                	14    	1433            	
                	15    	1456            	
                	16    	1451            	
                	17    	1455            	
                	18    	1441            	
                	19    	1442            	
                	20    	1434            	
                	21    	1455            	
                	22    	1451            	
                	23    	1442            	
                	24    	1555            	
                	25    	1551            	
                	26    	1552            	
                	27    	1546            	
                	28    	1543            	
                	29    	1539            	
                	30    	1572            	
                	31    	1575            	
                	32    	1570            	
                	33    	1564            	
                	34    	1568            	
                	35    	1562            	
                	36    	1561            	
                	37    	1565            	
                	38    	1559            	
                	39    	1561            	
                	40    	1557            	
                	41    	1551            	
                	42    	1610            	
                	43    	1609            	
                	44    	1611            	
                	45    	1607            	
                	46    	1606            	
                	47    	1600            	
                	48    	1601            	
                	49    	1599            	
                	50    	1605            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1572            	
                	2     	1578            	
                	3     	1585            	
                	4     	1602            	
                	5     	1614            	
                	6     	1616            	
                	7     	1616            	
                	8     	1620            	
                	9     	1614            	
                	10    	1689            	
                	11    	1684            	
                	12    	1673            	
                	13    	1727            	
                	14    	1727            	
                	15    	1721            	
                	16    	1714            	
                	17    	1708            	
                	18    	1704            	
                	19    	1718            	
                	20    	1714            	
                	21    	1708            	
                	22    	1708            	
                	23    	1711            	
                	24    	1717            	
                	25    	1710            	
                	26    	1730            	
                	27    	1781            	
                	28    	1782            	
                	29    	1794            	
                	30    	1793            	
                	31    	1793            	
                	32    	1787            	
                	33    	1788            	
                	34    	1785            	
                	35    	1785            	
                	36    	1791            	
                	37    	1797            	
                	38    	1798            	
