A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1600            	
                	2     	1487            	
                	3     	1346            	
                	4     	1244            	
                	5     	1171            	
                	6     	1123            	
                	7     	1090            	
                	8     	1066            	
                	9     	1051            	
                	10    	1032            	
                	11    	1014            	
                	12    	1004            	
                	13    	989             	
                	14    	985             	
                	15    	984             	
                	16    	975             	
                	17    	1586            	
                	18    	1323            	
                	19    	1242            	
                	20    	1194            	
                	21    	1160            	
                	22    	1136            	
                	23    	1118            	
                	24    	1096            	
                	25    	1081            	
                	26    	1074            	
                	27    	1056            	
                	28    	1062            	
                	29    	1048            	
                	30    	1035            	
                	31    	1038            	
                	32    	1024            	
                	33    	1016            	
                	34    	1024            	
                	35    	1017            	
                	36    	1017            	
                	37    	1017            	
                	38    	1012            	
                	39    	1005            	
                	40    	998             	
                	41    	1028            	
                	42    	1026            	
                	43    	1048            	
                	44    	1032            	
                	45    	1017            	
                	46    	1005            	
                	47    	1003            	
                	48    	1005            	
                	49    	996             	
                	50    	990             	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1814            	
                	2     	1667            	
                	3     	1514            	
                	4     	1406            	
                	5     	1332            	
                	6     	1272            	
                	7     	1238            	
                	8     	1209            	
                	9     	1185            	
                	10    	1161            	
                	11    	1140            	
                	12    	1127            	
                	13    	1115            	
                	14    	1103            	
                	15    	1096            	
                	16    	1092            	
                	17    	1699            	
                	18    	1395            	
                	19    	1318            	
                	20    	1267            	
                	21    	1239            	
                	22    	1215            	
                	23    	1199            	
                	24    	1185            	
                	25    	1180            	
                	26    	1170            	
                	27    	1155            	
                	28    	1152            	
                	29    	1151            	
                	30    	1151            	
                	31    	1145            	
                	32    	1147            	
                	33    	1152            	
                	34    	1151            	
                	35    	1169            	
                	36    	1167            	
                	37    	1168            	
                	38    	1167            	
                	39    	1190            	
                	40    	1182            	
                	41    	1183            	
                	42    	1204            	
                	43    	1204            	
                	44    	1207            	
                	45    	1199            	
                	46    	1203            	
                	47    	1195            	
                	48    	1189            	
                	49    	1194            	
                	50    	1181            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2038            	
                	2     	1882            	
                	3     	1710            	
                	4     	1587            	
                	5     	1503            	
                	6     	1438            	
                	7     	1395            	
                	8     	1363            	
                	9     	1331            	
                	10    	1312            	
                	11    	1292            	
                	12    	1284            	
                	13    	1272            	
                	14    	1258            	
                	15    	1258            	
                	16    	1256            	
                	17    	1812            	
                	18    	1501            	
                	19    	1420            	
                	20    	1377            	
                	21    	1345            	
                	22    	1315            	
                	23    	1295            	
                	24    	1284            	
                	25    	1276            	
                	26    	1267            	
                	27    	1263            	
                	28    	1261            	
                	29    	1254            	
                	30    	1249            	
                	31    	1261            	
                	32    	1258            	
                	33    	1252            	
                	34    	1249            	
                	35    	1252            	
                	36    	1274            	
                	37    	1274            	
                	38    	1279            	
                	39    	1282            	
                	40    	1276            	
                	41    	1276            	
                	42    	1307            	
                	43    	1304            	
                	44    	1329            	
                	45    	1322            	
                	46    	1313            	
                	47    	1336            	
                	48    	1338            	
                	49    	1330            	
                	50    	1327            	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2125            	
                	2     	1988            	
                	3     	1823            	
                	4     	1707            	
                	5     	1618            	
                	6     	1554            	
                	7     	1509            	
                	8     	1465            	
                	9     	1436            	
                	10    	1409            	
                	11    	1386            	
                	12    	1372            	
                	13    	1357            	
                	14    	1343            	
                	15    	1329            	
                	16    	1327            	
                	17    	1965            	
                	18    	1662            	
                	19    	1578            	
                	20    	1522            	
                	21    	1481            	
                	22    	1454            	
                	23    	1432            	
                	24    	1419            	
                	25    	1407            	
                	26    	1391            	
                	27    	1380            	
                	28    	1366            	
                	29    	1378            	
                	30    	1368            	
                	31    	1362            	
                	32    	1371            	
                	33    	1374            	
                	34    	1367            	
                	35    	1378            	
                	36    	1388            	
                	37    	1396            	
                	38    	1412            	
                	39    	1420            	
                	40    	1428            	
                	41    	1452            	
                	42    	1441            	
                	43    	1436            	
                	44    	1459            	
                	45    	1468            	
                	46    	1486            	
                	47    	1485            	
                	48    	1487            	
                	49    	1473            	
                	50    	1530            	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2121            	
                	2     	1984            	
                	3     	1820            	
                	4     	1697            	
                	5     	1612            	
                	6     	1546            	
                	7     	1500            	
                	8     	1458            	
                	9     	1431            	
                	10    	1405            	
                	11    	1377            	
                	12    	1357            	
                	13    	1350            	
                	14    	1348            	
                	15    	1350            	
                	16    	1334            	
                	17    	1924            	
                	18    	1658            	
                	19    	1572            	
