A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1170            	
                	2     	1158            	
                	3     	1142            	
                	4     	1122            	
                	5     	1146            	
                	6     	1128            	
                	7     	1118            	
                	8     	1105            	
                	9     	1118            	
                	10    	1123            	
                	11    	1147            	
                	12    	1131            	
                	13    	1137            	
                	14    	1138            	
                	15    	1129            	
                	16    	1118            	
                	17    	1126            	
                	18    	1121            	
                	19    	1140            	
                	20    	1129            	
                	21    	1124            	
                	22    	1112            	
                	23    	1105            	
                	24    	1097            	
                	25    	1104            	
                	26    	1132            	
                	27    	1161            	
                	28    	1149            	
                	29    	1134            	
                	30    	1131            	
                	31    	1120            	
                	32    	1118            	
                	33    	1110            	
                	34    	1100            	
                	35    	1177            	
                	36    	1166            	
                	37    	1153            	
                	38    	1139            	
                	39    	1136            	
                	40    	1126            	
                	41    	1157            	
                	42    	1152            	
                	43    	1146            	
                	44    	1134            	
                	45    	1126            	
                	46    	1119            	
                	47    	1113            	
                	48    	1113            	
                	49    	1112            	
                	50    	1103            	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1271            	
                	2     	1255            	
                	3     	1277            	
                	4     	1265            	
                	5     	1253            	
                	6     	1256            	
                	7     	1288            	
                	8     	1273            	
                	9     	1265            	
                	10    	1251            	
                	11    	1286            	
                	12    	1290            	
                	13    	1283            	
                	14    	1287            	
                	15    	1270            	
                	16    	1258            	
                	17    	1247            	
                	18    	1251            	
                	19    	1237            	
                	20    	1260            	
                	21    	1251            	
                	22    	1248            	
                	23    	1240            	
                	24    	1302            	
                	25    	1306            	
                	26    	1297            	
                	27    	1290            	
                	28    	1276            	
                	29    	1273            	
                	30    	1275            	
                	31    	1262            	
                	32    	1298            	
                	33    	1290            	
                	34    	1297            	
                	35    	1297            	
                	36    	1287            	
                	37    	1299            	
                	38    	1286            	
                	39    	1281            	
                	40    	1276            	
                	41    	1263            	
                	42    	1258            	
                	43    	1248            	
                	44    	1299            	
                	45    	1291            	
                	46    	1284            	
                	47    	1280            	
                	48    	1277            	
                	49    	1280            	
                	50    	1275            	

C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1396            	
                	2     	1406            	
                	3     	1413            	
                	4     	1405            	
                	5     	1434            	
                	6     	1425            	
                	7     	1415            	
                	8     	1409            	
                	9     	1399            	
                	10    	1407            	
                	11    	1403            	
                	12    	1410            	
                	13    	1447            	
                	14    	1435            	
                	15    	1429            	
                	16    	1442            	
                	17    	1430            	
                	18    	1476            	
                	19    	1464            	
                	20    	1457            	
                	21    	1447            	
                	22    	1465            	
                	23    	1461            	
                	24    	1457            	
                	25    	1456            	
                	26    	1454            	
                	27    	1450            	
                	28    	1443            	
                	29    	1436            	
                	30    	1621            	
                	31    	1600            	
                	32    	1585            	
                	33    	1577            	
                	34    	1565            	
                	35    	1559            	
                	36    	1541            	
                	37    	1553            	
                	38    	1545            	
                	39    	1543            	
                	40    	1543            	
                	41    	1533            	
                	42    	1518            	
                	43    	1509            	
                	44    	1505            	
                	45    	1564            	
                	46    	1556            	
