A3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2076            	
                	2     	1848            	
                	3     	1651            	
                	4     	1527            	
                	5     	1451            	
                	6     	1399            	
                	7     	1358            	
                	8     	1334            	
                	9     	1321            	
                	10    	1314            	
                	11    	1299            	
                	12    	1279            	
                	13    	1275            	
                	14    	1263            	
                	15    	1259            	
                	16    	1258            	
                	17    	1272            	
                	18    	1261            	
                	19    	1271            	
                	20    	1264            	
                	21    	1257            	
                	22    	1249            	
                	23    	1240            	
                	24    	2016            	
                	25    	1668            	
                	26    	1541            	
                	27    	1460            	
                	28    	1406            	
                	29    	1366            	
                	30    	1323            	
                	31    	1295            	
                	32    	1273            	
                	33    	1257            	
                	34    	1247            	
                	35    	1228            	
                	36    	1222            	
                	37    	1199            	
                	38    	1192            	
                	39    	1185            	
                	40    	1179            	
                	41    	1187            	
                	42    	1181            	
                	43    	1174            	
                	44    	1156            	
                	45    	1159            	
                	46    	1148            	
                	47    	1167            	
                	48    	1205            	
                	49    	1188            	
                	50    	1173            	

B3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2048            	
                	2     	1839            	
                	3     	1654            	
                	4     	1534            	
                	5     	1457            	
                	6     	1403            	
                	7     	1351            	
                	8     	1324            	
                	9     	1317            	
                	10    	1297            	
                	11    	1291            	
                	12    	1270            	
                	13    	1259            	
                	14    	1273            	
                	15    	1258            	
                	16    	1260            	
                	17    	1256            	
                	18    	1249            	
                	19    	1238            	
                	20    	1233            	
                	21    	1237            	
                	22    	1254            	
                	23    	1241            	
                	24    	1872            	
                	25    	1618            	
                	26    	1529            	
                	27    	1464            	
                	28    	1418            	
                	29    	1384            	
                	30    	1349            	
                	31    	1329            	
                	32    	1316            	
                	33    	1301            	
                	34    	1281            	
                	35    	1277            	
                	36    	1250            	
                	37    	1237            	
                	38    	1250            	
                	39    	1261            	
                	40    	1259            	
                	41    	1250            	
                	42    	1234            	
                	43    	1234            	
                	44    	1233            	
                	45    	1234            	
                	46    	1227            	
