C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	941             	
                	2     	931             	
                	3     	927             	
                	4     	937             	
                	5     	926             	
                	6     	920             	
                	7     	914             	
                	8     	920             	
                	9     	913             	
                	10    	927             	
                	11    	918             	
                	12    	917             	
                	13    	908             	
                	14    	907             	
                	15    	899             	
                	16    	893             	
                	17    	895             	
                	18    	897             	
                	19    	895             	
                	20    	892             	
                	21    	886             	
                	22    	880             	
                	23    	875             	
                	24    	871             	
                	25    	875             	
                	26    	868             	
                	27    	887             	
                	28    	878             	
                	29    	877             	
                	30    	868             	
                	31    	868             	
                	32    	865             	
                	33    	863             	
                	34    	872             	
                	35    	862             	
                	36    	864             	
                	37    	867             	
                	38    	863             	
                	39    	859             	
                	40    	857             	
                	41    	854             	
                	42    	857             	
                	43    	852             	
                	44    	847             	
                	45    	883             	
                	46    	878             	
                	47    	871             	
                	48    	866             	
                	49    	862             	
                	50    	868             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	992             	
                	2     	981             	
                	3     	992             	
                	4     	974             	
                	5     	963             	
                	6     	956             	
                	7     	948             	
                	8     	947             	
                	9     	963             	
                	10    	958             	
                	11    	954             	
                	12    	965             	
                	13    	956             	
                	14    	957             	
                	15    	951             	
                	16    	948             	
                	17    	947             	
                	18    	947             	
                	19    	934             	
                	20    	936             	
                	21    	935             	
                	22    	999             	
                	23    	979             	
                	24    	976             	
                	25    	968             	
                	26    	955             	
                	27    	954             	
                	28    	953             	
                	29    	948             	
                	30    	949             	
                	31    	942             	
                	32    	942             	
                	33    	932             	
                	34    	934             	
                	35    	929             	
                	36    	926             	
                	37    	920             	
                	38    	918             	
                	39    	925             	
                	40    	918             	
                	41    	916             	
                	42    	915             	
                	43    	919             	
                	44    	906             	
                	45    	903             	
                	46    	904             	
                	47    	902             	
                	48    	912             	
                	49    	906             	
                	50    	907             	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1264            	
                	2     	1286            	
                	3     	1288            	
                	4     	1291            	
                	5     	1312            	
                	6     	1316            	
                	7     	1363            	
                	8     	1361            	
                	9     	1358            	
                	10    	1406            	
                	11    	1407            	
                	12    	1451            	
                	13    	1445            	
                	14    	1425            	
                	15    	1416            	
                	16    	1413            	
                	17    	1415            	
                	18    	1413            	
                	19    	1424            	
                	20    	1420            	
                	21    	1420            	
                	22    	1418            	
                	23    	1470            	
                	24    	1459            	
                	25    	1456            	
                	26    	1483            	
                	27    	1482            	
                	28    	1497            	
                	29    	1500            	
                	30    	1510            	
                	31    	1511            	
                	32    	1517            	
                	33    	1522            	
                	34    	1524            	
                	35    	1528            	
                	36    	1531            	
                	37    	1529            	
                	38    	1604            	
                	39    	1605            	
                	40    	1607            	
                	41    	1602            	
                	42    	1634            	
                	43    	1649            	
                	44    	1654            	
                	45    	1650            	
                	46    	1653            	
                	47    	1669            	
                	48    	1666            	
                	49    	1682            	
                	50    	1690            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	2130            	
                	2     	2149            	
                	3     	2158            	
                	4     	2188            	
                	5     	2204            	
                	6     	2218            	
                	7     	2410            	
                	8     	2475            	
                	9     	2491            	
                	10    	2505            	
                	11    	2525            	
                	12    	2553            	
                	13    	2581            	
                	14    	2637            	
                	15    	2661            	
                	16    	2680            	
                	17    	2710            	
                	18    	2798            	
                	19    	2829            	
                	20    	2877            	
                	21    	2892            	
                	22    	3127            	
                	23    	3145            	
                	24    	3162            	
                	25    	3177            	
                	26    	3192            	
                	27    	3210            	
                	28    	3218            	
                	29    	3256            	
                	30    	3275            	
                	31    	3291            	
                	32    	3673            	
                	33    	3696            	
                	34    	3697            	
                	35    	3689            	
                	36    	3709            	
                	37    	3713            	
                	38    	3719            	
                	39    	4244            	
                	40    	4209            	
                	41    	4177            	
                	42    	4159            	
                	43    	4174            	
                	44    	4208            	
                	45    	4193            	
                	46    	4207            	
                	47    	4209            	
                	48    	4224            	
                	49    	4484            	
                	50    	4464            	

