C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	863             	
                	2     	857             	
                	3     	866             	
                	4     	860             	
                	5     	867             	
                	6     	864             	
                	7     	856             	
                	8     	859             	
                	9     	856             	
                	10    	853             	
                	11    	846             	
                	12    	865             	
                	13    	863             	
                	14    	863             	
                	15    	859             	
                	16    	858             	
                	17    	856             	
                	18    	850             	
                	19    	852             	
                	20    	849             	
                	21    	956             	
                	22    	934             	
                	23    	927             	
                	24    	919             	
                	25    	910             	
                	26    	926             	
                	27    	922             	
                	28    	914             	
                	29    	911             	
                	30    	907             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	900             	
                	2     	913             	
                	3     	1042            	
                	4     	1014            	
                	5     	997             	
                	6     	987             	
                	7     	974             	
                	8     	1025            	
                	9     	1012            	
                	10    	1005            	
                	11    	997             	
                	12    	990             	
                	13    	985             	
                	14    	980             	
                	15    	977             	
                	16    	976             	
                	17    	969             	
                	18    	961             	
                	19    	963             	
                	20    	954             	
                	21    	953             	
                	22    	954             	
                	23    	952             	
                	24    	951             	
                	25    	946             	
                	26    	954             	
                	27    	954             	
                	28    	960             	
                	29    	950             	
                	30    	971             	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1693            	
                	2     	1692            	
                	3     	1700            	
                	4     	1713            	
                	5     	1752            	
                	6     	1760            	
                	7     	1758            	
                	8     	1765            	
                	9     	1761            	
                	10    	1767            	
                	11    	1773            	
                	12    	1779            	
                	13    	1791            	
                	14    	1799            	
                	15    	1862            	
                	16    	1865            	
                	17    	1869            	
                	18    	1869            	
                	19    	1876            	
                	20    	1877            	
                	21    	1881            	
                	22    	1874            	
                	23    	1879            	
                	24    	1880            	
                	25    	1877            	
                	26    	1882            	
                	27    	1876            	
                	28    	1876            	
                	29    	1878            	
                	30    	1879            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	4472            	
                	2     	4478            	
                	3     	4527            	
                	4     	4531            	
                	5     	4716            	
                	6     	4696            	
                	7     	4739            	
                	8     	4745            	
                	9     	4752            	
                	10    	4761            	
                	11    	4971            	
                	12    	4982            	
                	13    	4992            	
                	14    	5033            	
                	15    	5029            	
                	16    	5040            	
                	17    	5053            	
                	18    	5064            	
                	19    	5060            	
                	20    	5077            	
                	21    	5093            	
                	22    	5085            	
                	23    	5092            	
                	24    	5490            	
                	25    	5497            	
                	26    	5498            	
                	27    	5515            	
                	28    	5538            	
                	29    	5599            	
                	30    	5971            	

