C3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1468            	
                	2     	1306            	
                	3     	1186            	
                	4     	1107            	
                	5     	1060            	
                	6     	1012            	
                	7     	983             	
                	8     	967             	
                	9     	950             	
                	10    	935             	
                	11    	925             	
                	12    	922             	
                	13    	1225            	
                	14    	1144            	
                	15    	1093            	
                	16    	1060            	
                	17    	1039            	
                	18    	1018            	
                	19    	1000            	
                	20    	983             	
                	21    	972             	
                	22    	962             	
                	23    	968             	
                	24    	963             	
                	25    	956             	
                	26    	948             	
                	27    	950             	
                	28    	946             	
                	29    	941             	
                	30    	939             	
                	31    	930             	
                	32    	921             	
                	33    	914             	
                	34    	909             	
                	35    	917             	
                	36    	909             	
                	37    	930             	
                	38    	918             	
                	39    	917             	
                	40    	905             	
                	41    	931             	
                	42    	929             	
                	43    	921             	
                	44    	916             	
                	45    	902             	
                	46    	895             	
                	47    	898             	
                	48    	895             	
                	49    	943             	
                	50    	931             	

D3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1607            	
                	2     	1430            	
                	3     	1299            	
                	4     	1212            	
                	5     	1153            	
                	6     	1111            	
                	7     	1086            	
                	8     	1062            	
                	9     	1046            	
                	10    	1032            	
                	11    	1026            	
                	12    	1012            	
                	13    	1284            	
                	14    	1188            	
                	15    	1153            	
                	16    	1118            	
                	17    	1083            	
                	18    	1066            	
                	19    	1054            	
                	20    	1031            	
                	21    	1023            	
                	22    	1015            	
                	23    	1005            	
                	24    	997             	
                	25    	998             	
                	26    	997             	
                	27    	994             	
                	28    	997             	
                	29    	987             	
                	30    	991             	
                	31    	983             	
                	32    	991             	
                	33    	1004            	
                	34    	1005            	
                	35    	996             	
                	36    	983             	
                	37    	972             	
                	38    	980             	
                	39    	989             	
                	40    	975             	
                	41    	976             	
                	42    	980             	
                	43    	972             	
                	44    	962             	
                	45    	961             	
                	46    	957             	
                	47    	988             	
                	48    	978             	
                	49    	967             	
                	50    	981             	

E3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1585            	
                	2     	1429            	
                	3     	1301            	
                	4     	1219            	
                	5     	1165            	
                	6     	1118            	
                	7     	1093            	
                	8     	1076            	
                	9     	1062            	
                	10    	1047            	
                	11    	1029            	
                	12    	1023            	
                	13    	1318            	
                	14    	1219            	
                	15    	1167            	
                	16    	1134            	
                	17    	1111            	
                	18    	1098            	
                	19    	1084            	
                	20    	1083            	
                	21    	1076            	
                	22    	1068            	
                	23    	1074            	
                	24    	1073            	
                	25    	1092            	
                	26    	1101            	
                	27    	1107            	
                	28    	1124            	
                	29    	1123            	
                	30    	1118            	
                	31    	1125            	
                	32    	1125            	
                	33    	1124            	
                	34    	1139            	
                	35    	1140            	
                	36    	1150            	
                	37    	1141            	
                	38    	1140            	
                	39    	1220            	
                	40    	1219            	
                	41    	1230            	
                	42    	1257            	
                	43    	1287            	
                	44    	1286            	
                	45    	1272            	
                	46    	1270            	
                	47    	1270            	
                	48    	1270            	
                	49    	1265            	
                	50    	1264            	

F3, FAM, Unknown	Cycles	Fluorescence (R)	
                	1     	1644            	
                	2     	1480            	
                	3     	1347            	
                	4     	1261            	
                	5     	1201            	
                	6     	1158            	
                	7     	1123            	
                	8     	1105            	
                	9     	1086            	
                	10    	1077            	
                	11    	1074            	
                	12    	1063            	
                	13    	1384            	
                	14    	1260            	
                	15    	1195            	
                	16    	1168            	
                	17    	1142            	
                	18    	1133            	
                	19    	1131            	
                	20    	1131            	
                	21    	1145            	
                	22    	1167            	
                	23    	1190            	
                	24    	1209            	
                	25    	1234            	
                	26    	1258            	
                	27    	1294            	
                	28    	1307            	
                	29    	1355            	
                	30    	1379            	
                	31    	1425            	
                	32    	1483            	
                	33    	1543            	
                	34    	1599            	
                	35    	1640            	
                	36    	1663            	
                	37    	1676            	
                	38    	1711            	
                	39    	1748            	
                	40    	1771            	
                	41    	1785            	
                	42    	1845            	
                	43    	1874            	
                	44    	1924            	
                	45    	1951            	
                	46    	1982            	
                	47    	1997            	
                	48    	2035            	
                	49    	2060            	
                	50    	2082            	

